,Alone,Attention,Demand,Play
1,,,3.2 ,
2,,,,3.1 
3,25.3 ,,,
4,,1.1 ,,
5,,,,1.8 
6,,4.7 ,,
7,,,0.9 ,
8,2.0 ,,,
9,,,,4.5 
10,,10.0 ,,
11,11.9 ,,,
12,,,4.8 ,
13,,,,5.5 
14,,7.8 ,,
15,,,9.5 ,
16,2.7 ,,,
17,,,7.4 ,
18,8.3 ,,,
19,,,,4.4 
20,,12.2 ,,
21,,6.1 ,,
22,,,,2.9 
23,2.7 ,,,
24,,,4.1 ,
25,0.2 ,,,
26,,,,2.1 
27,,,2.4 ,
28,,7.3 ,,
29,,,,1.0 
30,,,1.4 ,
31,,7.2 ,,
32,1.5 ,,,
33,,,,2.7 
34,0.1 ,,,
35,,,4.3 ,
36,,8.0 ,,
37,,,,2.8 
38,,,1.4 ,
39,1.0 ,,,
40,,4.0 ,,
