,Alone,Demand,Attention,Play
1,1.9,,,
2,,1.3,,
3,,,5.5,
4,,,,0.7
5,,2.7,,
6,,,1.9,
7,0.4,,,
8,,,,1.5
9,,4.4,,
10,,,0.2,
11,0.4,,,
12,,,,0.1
13,,5.7,,
14,,,0.8,
15,0.3,,,
16,,,,0.7
17,,3.7,,
18,,,2.7,
19,,4.3,,
20,0.9,,,
21,,,2.6,
22,,,3.1,
23,0.1,,,
24,,12.7,,
25,,,,0.0
26,,,0.1,
27,,7.4,,
28,,,,1.0
29,,7.2,,
30,,,0.0,
31,0.4,,,
